orbit_id,tier,start_n,status,odd_steps_to_1,terminal_or_cap_state,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_critical_break_type,count_U1,count_F2,count_F3,count_F4P,fraction_mod8_1,fraction_mod8_3,fraction_mod8_5,fraction_mod8_7,max_cum_reset_deficit,min_cum_reset_deficit,final_cum_reset_deficit,max_cum_best_hidden_deficit,final_cum_best_hidden_deficit,height_cocycle_sum,height_cocycle_endpoint_log2,height_cocycle_error,critical_windows_L8,critical_windows_L16,critical_windows_L32,critical_windows_L64,alphabet_windows_L8,alphabet_windows_L16,alphabet_windows_L32,alphabet_windows_L64
C_43741,TIER_C_RANDOM_1E12,855932870185,REACHED_1,125,1,9254512948913,5,15,6,CRITICAL_FORBIDDEN_GRAMMAR,59,42,10,14,0.336,0.232,0.192,0.24,195.67525977810004,0.0,191.65733787010277,308.4823740293343,307.9969472021641,-39.63870669593772,-39.63870669593773,7.105427357601002e-15,0,0,0,0,21,0,0,0
C_43742,TIER_C_RANDOM_1E12,580131424605,REACHED_1,85,1,580131424605,5,12,6,DEEP_FOLD,44,16,11,14,0.18823529411764706,0.23529411764705882,0.29411764705882354,0.2823529411764706,141.35671864069207,-0.41503749928050127,137.3387967326948,230.18466906470667,229.69924223753642,-39.07758881322079,-39.07758881322079,0.0,0,0,0,0,8,0,0,0
C_43743,TIER_C_RANDOM_1E12,174098463419,REACHED_1,81,1,293791157021,6,14,5,DEEP_FOLD,40,16,13,12,0.19753086419753085,0.24691358024691357,0.30864197530864196,0.24691358024691357,133.9249274790967,0.0,131.8545381512053,216.89955553373352,216.89955553373352,-37.34111251367951,-37.34111251367951,0.0,0,0,0,0,13,0,0,0
C_43744,TIER_C_RANDOM_1E12,345257181915,REACHED_1,117,1,2099805702389,5,14,6,CRITICAL_FORBIDDEN_GRAMMAR,65,24,15,13,0.20512820512820512,0.2564102564102564,0.23931623931623933,0.29914529914529914,207.01612121783813,0.0,202.99819930984086,326.8012098174571,326.3157829902869,-38.32888046897679,-38.32888046897679,0.0,0,0,0,0,19,0,0,0
C_43745,TIER_C_RANDOM_1E12,478466095141,REACHED_1,94,1,478466095141,5,17,5,DEEP_FOLD,49,20,9,16,0.2127659574468085,0.24468085106382978,0.26595744680851063,0.2765957446808511,147.59482289434837,-1.4150374992808565,143.5769009863511,237.41238149984844,236.9269546726782,-38.79962574045771,-38.79962574045771,0.0,0,0,0,0,15,2,0,0
C_43746,TIER_C_RANDOM_1E12,28175299675,REACHED_1,106,1,203091219557,7,22,4,CRITICAL_FORBIDDEN_GRAMMAR,57,23,15,11,0.2169811320754717,0.29245283018867924,0.24528301886792453,0.24528301886792453,179.54232608858055,0.0,177.47193676068915,283.50788270211086,283.50788270211086,-34.71371190398584,-34.71371190398584,0.0,0,0,0,0,18,7,0,0
C_43747,TIER_C_RANDOM_1E12,12648521567,REACHED_1,84,1,64033140437,7,9,5,CRITICAL_FORBIDDEN_GRAMMAR,41,19,16,8,0.2261904761904762,0.21428571428571427,0.2857142857142857,0.27380952380952384,149.6310194271387,0.0,147.5606300992473,250.60474734909653,250.60474734909653,-33.55824971303376,-33.55824971303376,0.0,0,0,0,0,3,0,0,0
C_43748,TIER_C_RANDOM_1E12,415636956561,REACHED_1,137,1,415636956561,6,17,5,DEEP_FOLD,74,33,13,17,0.24087591240875914,0.25547445255474455,0.21897810218978103,0.2846715328467153,242.70921018068557,0.0,240.63882085279417,361.7192474038644,361.7192474038644,-38.596532981633665,-38.596532981633665,0.0,0,0,0,0,17,2,0,0
C_43749,TIER_C_RANDOM_1E12,609245261091,REACHED_1,90,1,913867891637,6,10,5,DEEP_FOLD,49,16,10,15,0.17777777777777778,0.2222222222222222,0.2777777777777778,0.32222222222222224,163.2724546270855,0.0,159.25453271908822,260.1189150751585,259.6334882479883,-39.14823216799913,-39.14823216799913,0.0,0,0,0,0,5,0,0,0
C_43750,TIER_C_RANDOM_1E12,161416732995,REACHED_1,88,1,242125099493,4,9,5,DEEP_FOLD,46,22,7,13,0.25,0.2840909090909091,0.22727272727272727,0.23863636363636365,128.9977880998457,0.0,126.9273987719543,200.0740559833619,200.0740559833619,-37.23199918469152,-37.23199918469152,0.0,0,0,0,0,8,0,0,0
C_43751,TIER_C_RANDOM_1E12,96208905923,REACHED_1,74,1,144313358885,4,9,4,DEEP_FOLD,36,17,7,14,0.22972972972972974,0.25675675675675674,0.28378378378378377,0.22972972972972974,101.60466378874452,0.0,97.8574379253442,165.95326352985157,165.95326352985157,-36.48545139729974,-36.48545139729974,0.0,0,0,0,0,5,0,0,0
C_43752,TIER_C_RANDOM_1E12,630019902077,REACHED_1,90,1,1702974481109,4,9,7,DEEP_FOLD,46,22,9,13,0.24444444444444444,0.26666666666666666,0.24444444444444444,0.24444444444444444,130.36888438733808,-0.41503749928036626,126.35096247934082,215.28965376605404,214.8042269388838,-39.196606447253345,-39.196606447253345,0.0,0,0,0,0,4,0,0,0
C_43753,TIER_C_RANDOM_1E12,541473872345,REACHED_1,56,1,609158106389,4,7,4,DEEP_FOLD,26,13,6,11,0.23214285714285715,0.2857142857142857,0.30357142857142855,0.17857142857142858,61.907632988401055,-0.6601499971547824,59.256689737808834,114.29111431134018,114.29111431134018,-38.97810076913344,-38.97810076913344,0.0,0,0,0,0,0,0,0,0
C_43754,TIER_C_RANDOM_1E12,618681970831,REACHED_1,92,1,2088051651557,4,10,6,CRITICAL_FORBIDDEN_GRAMMAR,47,20,14,11,0.21739130434782608,0.2608695652173913,0.2717391304347826,0.25,147.72168792491163,0.0,139.79057587290754,239.17421224840064,235.71478062976334,-39.17040703638121,-39.17040703638121,0.0,0,0,0,0,3,0,0,0
C_43755,TIER_C_RANDOM_1E12,184317315045,REACHED_1,62,1,184317315045,3,8,7,DEEP_FOLD,23,20,9,10,0.3225806451612903,0.27419354838709675,0.3064516129032258,0.0967741935483871,55.753808000706314,-1.415037499284061,53.683418672814916,120.70588372642449,120.70588372642449,-37.42340065003169,-37.42340065003169,0.0,0,0,0,0,1,0,0,0
C_43756,TIER_C_RANDOM_1E12,353318735187,REACHED_1,110,1,5163027108641,6,19,6,DEEP_FOLD,58,29,11,12,0.2636363636363636,0.24545454545454545,0.20909090909090908,0.2818181818181818,197.86567370462652,0.0,195.7952843767351,293.93892744075384,293.93892744075384,-38.3621792958051,-38.3621792958051,0.0,0,0,0,0,17,4,0,0
C_43757,TIER_C_RANDOM_1E12,573202036243,REACHED_1,78,1,859803054365,3,13,6,DEEP_FOLD,35,23,8,12,0.2948717948717949,0.2948717948717949,0.2564102564102564,0.15384615384615385,89.10594216030515,0.0,87.03555283241374,165.09545950684597,165.09545950684597,-39.060252778400226,-39.060252778400226,0.0,0,0,0,0,6,0,0,0
C_43758,TIER_C_RANDOM_1E12,939860522745,REACHED_1,65,1,1189510974101,6,10,5,DEEP_FOLD,31,19,6,9,0.2923076923076923,0.2,0.23076923076923078,0.27692307692307694,98.341587030108,0.0,93.63921576255994,152.86349597502135,152.86349597502135,-39.77365571749346,-39.77365571749346,0.0,0,0,0,0,7,0,0,0
C_43759,TIER_C_RANDOM_1E12,761511965935,REACHED_1,115,1,111153812445125,10,16,6,CRITICAL_FORBIDDEN_GRAMMAR,58,31,11,15,0.26956521739130435,0.1826086956521739,0.22608695652173913,0.3217391304347826,231.7894773184249,0.0,227.77155541042762,335.47145098425653,334.9860241570863,-39.47007575028242,-39.47007575028242,0.0,0,0,0,0,21,1,0,0
