metric,rank,start_n,value,status,odd_steps_to_1,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
max_up_burst,83,968669,14.0,REACHED_1,63,9565937,14,15,3,DEEP_FOLD
max_up_burst,84,966583,14.0,REACHED_1,51,66961565,14,14,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,85,955631,14.0,REACHED_1,75,41329925,14,15,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,86,955627,14.0,REACHED_1,75,9565937,14,15,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,87,950271,14.0,REACHED_1,87,702199637,14,18,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,88,932057,14.0,REACHED_1,46,28697813,14,14,3,DEEP_FOLD
max_up_burst,89,932037,14.0,REACHED_1,46,9565937,14,15,3,DEEP_FOLD
max_up_burst,90,919487,14.0,REACHED_1,58,9565937,14,15,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,91,919485,14.0,REACHED_1,58,9565937,14,15,3,DEEP_FOLD
max_up_burst,92,907099,14.0,REACHED_1,70,9565937,14,15,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,93,902939,14.0,REACHED_1,135,296544077,14,18,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,94,897543,14.0,REACHED_1,48,209852765,14,18,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,95,894891,14.0,REACHED_1,82,41329925,14,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,96,884735,14.0,REACHED_1,77,523608245,14,14,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,97,882847,14.0,REACHED_1,94,85909733,14,15,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,98,873811,14.0,REACHED_1,70,143489069,14,14,5,DEEP_FOLD
max_up_burst,99,872813,14.0,REACHED_1,53,28697813,14,14,3,DEEP_FOLD
max_up_burst,100,872795,14.0,REACHED_1,53,9565937,14,15,3,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,1,917161,51.0,REACHED_1,140,6692535845,7,51,7,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,2,687871,50.0,REACHED_1,139,6692535845,7,50,7,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,3,827961,38.0,REACHED_1,98,883013825,7,38,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,4,557127,38.0,REACHED_1,114,41777693,5,38,11,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,5,517191,38.0,REACHED_1,75,827370449,7,38,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,6,968639,37.0,REACHED_1,82,827370449,7,37,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,7,835691,37.0,REACHED_1,113,41777693,5,37,11,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,8,775787,37.0,REACHED_1,74,827370449,7,37,5,CRITICAL_FORBIDDEN_GRAMMAR
